evaluation,label,正面为0，中立为1，负面为2,,,,,,,,,,,,,,,,,,,
某中原大省的国际城市，目前就像围城里说的:围在小区里的出不去，堵在小区外的进不来。或许某天都可以进出了，估计外面的也不想进去了，里面的也不想呆这了！估计该国际城市会说:来吧来吧，可甜可便宜去求吧，我才不上当呢。,"2,100,104","2,100,104",,,,,,,,,,,,,,,,,,,
明明只是回到了今年夏天之前的状态而已。都在感恩戴德什么？什么时候可以取消健康码行程码啊？,"2,1,5","2,1,5",,,,,,,,,,,,,,,,,,,
免费都这么频繁做核酸，如果收费，那还了得，一天不得做2遍啊！,"2,17,21","2,17,21",,,,,,,,,,,,,,,,,,,
每次谣言都没有让我失望。,"2,10,12","2,10,12",,,,,,,,,,,,,,,,,,,
没有看到几个媒体人报道疫情下普通百姓生活压力有多大，只看到很多媒体人报道生活越来越好，有网友认为这个词条就是在为全国核酸付费做铺垫，紧接着再来一波国外做核酸有多贵！你们怎么看 ？,"2,1,5","2,1,5",,,,,,,,,,,,,,,,,,,
没事，怕死就自己在家呆好永远别出门了毕竟外出风险可不止阳性哦！,"2,4,6","2,4,6",,,,,,,,,,,,,,,,,,,
没脸没皮了还，想收钱就卖惨，觉得大家会理解，那平民因为所谓的疫情防控活不下去的时候你们看到又有做过什么？是不是也可以跟你们拿钱？就你们惨，你们压力大，我们就没压力饿不死吃空气也能活下去呗？,"2,1,5","2,1,5",,,,,,,,,,,,,,,,,,,
貌似防疫被骂上热搜的基本都是北方城市，西安、郑州、石家庄轮流坐庄。,"2,5,10","2,5,10",,,,,,,,,,,,,,,,,,,
妈的 这个热搜能不能降下去，看见一次心烦一次，3号的通告挂到现在，你更新一下啊。,"2,19,21","2,19,21",,,,,,,,,,,,,,,,,,,
绿码可以接受，核酸48小时真的要命。,"2,16,18","2,16,18",,,,,,,,,,,,,,,,,,,
六个字背后隐含了多少生命与凄酸？,"2,14,16","2,14,16",,,,,,,,,,,,,,,,,,,
流动性管理，是管理大家的流动性让大家不流动的意思不？,"2,16,22","2,16,22",,,,,,,,,,,,,,,,,,,
老百姓压力太大了。,"2,4,8","2,4,8",,,,,,,,,,,,,,,,,,,
老百姓不要谎言，我们小区没有解封，也没有在风险名单中，是欺上瞒下？还是干部不作为，不敢开评论，开什么发布会，发新闻稿不好吗？,"2,29,33,38,41","2,29,33,38,41",,,,,,,,,,,,,,,,,,,
看着似乎回归早正常又觉得有些奇怪。,1,1,,,,,,,,,,,,,,,,,,,
看这发布会仿佛在听别人的故事，都不如纪录片能引起共鸣，毫无真实可言。,1,1,,,,,,,,,,,,,,,,,,,
看看能坚守几天，那群天天喊放开的，立马要转向开始喷医院了。接下就该要进口特效药、疫苗、还得纳入医保。哪点是为了自由？都是为了生意。,"2,59,65","2,59,65",,,,,,,,,,,,,,,,,,,
看看辽宁丹东吧，啥比地方，大家今年吃不上草莓了。,"2,9,13","2,9,13",,,,,,,,,,,,,,,,,,,
看到几例从海珠区回老家的核酸检测异常，为老家落后的医疗担忧。对广州目前政策很失望！,"2,39,41","2,39,41",,,,,,,,,,,,,,,,,,,
看到大家都在骂发布会，我就放心了。,"2,3,8","2,3,8",,,,,,,,,,,,,,,,,,,
开始煽情了 但是大家都不买账啊。,"2,12,15","2,12,15",,,,,,,,,,,,,,,,,,,
开就开吧，但希望你们先不要来我们的城市，商量一下，过完年再来好不好，别整的大家过年都病恹恹的！,"2,43,47","2,43,47",,,,,,,,,,,,,,,,,,,
就这样吧，继续努力，刚第三年。,1,1,,,,,,,,,,,,,,,,,,,
就是什么都不知道，然后封着。,1,1,,,,,,,,,,,,,,,,,,,
就是没有人说人民群众的生活压力有多大。,"2,12,19","2,12,19",,,,,,,,,,,,,,,,,,,
近期准备要自费核酸了，所以很多热搜开始铺垫各种压力大，最后苦的都是百姓。,"2,30,36","2,30,36",,,,,,,,,,,,,,,,,,,
进超市绿码也不用看了！超市店员全都戴上了n95，顾客目测不超十人。,1,1,,,,,,,,,,,,,,,,,,,
今天去新小区，连续走了几层楼，好几家有门磁。动态清零压力山大，还好不是一刀切。,1,1,,,,,,,,,,,,,,,,,,,
今天开麦来晚了…没赶上热乎的…听了不到1分钟就退了！没意思！ 反正这发布会也不是开给我们看的。,"2,27,30","2,27,30",,,,,,,,,,,,,,,,,,,
今天被打的是三个业主，明天就可能是你，也可能是我。,"2,12,19","2,12,19",,,,,,,,,,,,,,,,,,,
解封两天又封起来了，到底干嘛。,"2,11,15","2,11,15",,,,,,,,,,,,,,,,,,,
解封后每天的数据反倒是越来越多了，这是什么情况？,"2,9,12","2,9,12",,,,,,,,,,,,,,,,,,,
既然要道歉就真诚一点。谈的是如何落实解除封控，谈的如何解决不再一刀切。结果还要拉个所谓先进典型出来宣传。这是你该宣传的时候吗？那么多人因为不科学不精准的防疫生活受影响？你要拉个人出来告诉大家我们郑州说的其实还是又不错的地方的。这是属于和全体被封控受损失的人抬杠。,"2,70,76","2,70,76",,,,,,,,,,,,,,,,,,,
回应一下今天的热搜？你们的一些市民还在骂我们不知感恩呢？,"2,23,27","2,23,27",,,,,,,,,,,,,,,,,,,
回歸日常？先把學校解封了再說吧！什麼時候交通不要48h核酸碼的時候再說吧！,"2,13,16","2,13,16",,,,,,,,,,,,,,,,,,,
回归正常是相对的，已经有家长表示接到课外兴趣班的复课电话，但不敢带孩子去，观察多一段时间再说。幼儿园还没通知正式开课，如果通知，我们可能也要考虑下，毕竟孩子的同学住的范围还是蛮大的。,1,1,,,,,,,,,,,,,,,,,,,
回归日常没问题，不过请把自己封堵起来，不要外溢全国就好。,1,1,,,,,,,,,,,,,,,,,,,
回归日常个屁，昨晚有人出去吃饭阳了，很多核酸点撤了，常规性核酸也不做了，随时感染新冠，还不知道会感染多少次！,"2,1,7","2,1,7",,,,,,,,,,,,,,,,,,,
回归日常？一天高风险区从1000个变成6700，不知道这多的五千多个里面，有没有比放开之前多一点？我朋友去惠州，找了几十个酒店都拒绝入住，同事回汕头，立马被拉去隔离，朋友回湖南，要么隔离七天，要么原路返回。那些说要各地放开的，人家疫情防控做的好好的，凭什么陪你发疯啊！,"2,126,129","2,126,129",,,,,,,,,,,,,,,,,,,
回归你个屁啊！,"2,3,6","2,3,6",,,,,,,,,,,,,,,,,,,
很有意思，允许网上黑恶势力谩骂污辱造谣，甚至诅咒别人的女儿，却不让别人说话，这难道是网上应有的“正义”吗，这是打着“正义”的幌子做邪恶的事！这比唐山打人者更恶更毒！,"2,78,82","2,78,82",,,,,,,,,,,,,,,,,,,
很多人小时候做梦：全国人民每人给一块钱，不用多久就能变成首富，现在有人替大家实现了这个梦想。,1,1,,,,,,,,,,,,,,,,,,,
核酸企业净利继续翻倍增长，不少核酸企业的“应收账款”继续仍居高不下，应收账款甚至超过同期净利润。 意思是做核酸的钱还欠着？,"2,58,61","2,58,61",,,,,,,,,,,,,,,,,,,
核酸检测机构盈利两位数甚至三位数增长，年报要爆表了。,1,1,,,,,,,,,,,,,,,,,,,
核酸机构利润越多，压力越大。,"2,10,14","2,10,14",,,,,,,,,,,,,,,,,,,
核酸不再免费，但不是不查，是这个意思吗？,1,1,,,,,,,,,,,,,,,,,,,
呵呵呵呵呵呵呵。,"2,1,8","2,1,8",,,,,,,,,,,,,,,,,,,
呵，每天七八千例也是回归日常呀，掩耳盗铃自欺欺人笑嘻了，一放开人就全跑相邻市县去了，你们是躺了舒服了，等着吧，迟早会有清算的一天。,"2,21,25","2,21,25",,,,,,,,,,,,,,,,,,,
好像就我不太开心。原因有很多，不是说不喜欢这种“烟火气”，而是社会面还有那么多。自己年轻还好，老年人小孩子怎么办？有朋友昨晚就和我吐槽自己老家多了，都是这边回去的，其他地方的医疗也不知道扛不扛得住。,"2,94,99","2,94,99",,,,,,,,,,,,,,,,,,,
好的知道了，地方没钱了。,"2,9,12","2,9,12",,,,,,,,,,,,,,,,,,,
还以为是邵阳疫情冲上热搜了呢，结果依旧是自作多情。,"2,21,25","2,21,25",,,,,,,,,,,,,,,,,,,
还是有一些害怕的！,"2,6,8","2,6,8",,,,,,,,,,,,,,,,,,,
还是不敢出门不戴口罩，感觉摘下口罩吃饭都会莫名其妙被别桌感染发烧。我可不想动不动就发烧两三天，难受死了！谁制造的病毒还我美好生活！,"2,3,5,34,38","2,3,5,34,38",,,,,,,,,,,,,,,,,,,
还肺炎呢，跟肺还有关系吗？,1,1,,,,,,,,,,,,,,,,,,,
国家也知道原来的状态是不‘日常’啊，吴尊友怎么不出来狗叫了！,"2,27,29","2,27,29",,,,,,,,,,,,,,,,,,,
广州这步子迈得让我有点害怕，昨天才说天河疫情形势不乐观，我还以为会封多几天的，完了今天不止解封，还可以堂食，甚至核酸点也撤了不少。,"2,12,14","2,12,14",,,,,,,,,,,,,,,,,,,
广州是试验田。成，是疫情过后的武汉，败，是疫情开始的武汉。现在身边人不是囤药就是离开广州，前几天我不做核酸给我附黄码，刚才发现自动改为绿码，可笑！","2,71,73","2,71,73",,,,,,,,,,,,,,,,,,,
广州是回天无术，不得已而为之！,"2,4,8","2,4,8",,,,,,,,,,,,,,,,,,,
广州能不能取消场所码，像以前一样，真的别学深圳了，越学越魔怔，先取消地铁场所码吧！,"2,29,31","2,29,31",,,,,,,,,,,,,,,,,,,
广州荔湾区的胖友，已经排队一个多小时了，现在在担心医院五点下班，做不上核酸。 不过已经付钱了，希望能做上吧。,"2,24,26","2,24,26",,,,,,,,,,,,,,,,,,,
广州敢放开，我们学校不敢。明天就润，能润就润，应润尽润。,"2,11,13","2,11,13",,,,,,,,,,,,,,,,,,,
广州放开了，重庆放开了，石家庄放开了，不知道放开后的结局是什么？希望将来不要后悔：我们本来可以清零的，但最终我们放弃了！,"2,57,59","2,57,59",,,,,,,,,,,,,,,,,,,
广州动了很多大佬的奶酪，肯定会被批评报复，不信走着瞧！,"2,17,21","2,17,21",,,,,,,,,,,,,,,,,,,
广州摆烂了，我也想摆烂冬眠。,"2,3,5","2,3,5",,,,,,,,,,,,,,,,,,,
广东东莞城南派出所能不能别天天机器人全号段无差别电话骚扰了啊，人在山东天天核酸，从来没路过过你那里，别给我打电话了，很烦,"2,59,61","2,59,61",,,,,,,,,,,,,,,,,,,
广东ip外的其他防疫爱好者叫个嗨啊以后医院门口有多少人跟你有关系？你全家排火葬场等着先！,"2,35,41","2,35,41",,,,,,,,,,,,,,,,,,,
官字两个口，不知道哪张嘴说的是真的，哪张嘴说的是假的。要能靠的住，猪都能爬上树。,"2,28,40","2,28,40",,,,,,,,,,,,,,,,,,,
官府大小姐生日宴当天哪来的一帮刁民在大门吵闹。,"2,16,18","2,16,18",,,,,,,,,,,,,,,,,,,
各位已经分不清生活和活着了，现在是活着，2019是生活，那个才是日常！,"2,5,13","2,5,13",,,,,,,,,,,,,,,,,,,
搞笑，你掏了几个钱。,1,1,,,,,,,,,,,,,,,,,,,
港区呢？只字不提？为什么这几天又静默了？一直不解封。,"2,5,9","2,5,9",,,,,,,,,,,,,,,,,,,
刚在路口看到了好几辆旅游大巴路过市政府往中原路里面走了…到底啥时候是个头啊 快递快递进不来外卖外卖点不到 解封和没解封有啥区别？,"2,31,37","2,31,37",,,,,,,,,,,,,,,,,,,
刚经历了一场为时2个月的疫情，真心体会到了小城市抗疫的巨大压力。在此，从个人角度来谈谈这个问题。小县城抗疫压力大，一是因为没有经验；二是没有专业的人才。无论是治疗，还是流调溯源，都有点业余。更搞笑的是，现在要求商铺安装监控，不然不许营业。,"2,28,32","2,28,32",,,,,,,,,,,,,,,,,,,
刚经历了一场为时2个月的疫情，真心体会到了小城市抗疫的巨大压力。小县城抗疫压力大，一是因为没有经验；二是没有专业的人才。无论是治疗，还是流调溯源，都有点业余。,"2,28,32","2,28,32",,,,,,,,,,,,,,,,,,,
该不会发言稿都是东拼西凑抄出来的吧。,"2,13,17","2,13,17",,,,,,,,,,,,,,,,,,,
服了，20，21年最严重的时候也没说出门要看各种几小时内核酸码，也没天天核酸，只看绿码或者测体温，也没有说动不动就把人关个七天半个月的，那时候过年我出省回老家也从没说异地隔离，前两年还能放假出省各种玩，对于我来说现在放开和前两年没区别，那些怕的人怎么的你20、21年没经历过?,"2,54,58","2,54,58",,,,,,,,,,,,,,,,,,,
封住嘴有什么用啊？,"2,4,8","2,4,8",,,,,,,,,,,,,,,,,,,
封控区的人平时不做饭，只能用热得快和水桶煮面吃。,1,1,,,,,,,,,,,,,,,,,,,
非要负重前行那也拦不住呀。,"2,9,12","2,9,12",,,,,,,,,,,,,,,,,,,
非常大，压力非常大，做核酸的人激增，老百姓快扛不住了。还是要改变一下做核酸的政策。,"2,22,27","2,22,27",,,,,,,,,,,,,,,,,,,
放开，让人民群众锻炼好身体，比啥都强，现在还搞线上马拉松，这种开倒车的行为真的好么。,"2,32,35","2,32,35",,,,,,,,,,,,,,,,,,,
房产泡沫崩了以后得换个泡沫，于是核酸检测泡沫应运而生罢了。地方财政背不住只好转嫁给居民了，问题是居民就能扛住吗？,"2,34,37","2,34,37",,,,,,,,,,,,,,,,,,,
饭要一口一口吃，广州这样太快了，不看好。,"2,17,20","2,17,20",,,,,,,,,,,,,,,,,,,
发什么疯发什么疯，什么时候让大学生回家，我不想在郑州过年啊。,"2,1,5","2,1,5",,,,,,,,,,,,,,,,,,,
发布会你来讲故事的？分不清个轻重缓急？谁要听你的家事？,"2,11,19","2,11,19",,,,,,,,,,,,,,,,,,,
发布会，要讲真话，办实事，不该成为秀——可惜，表演，已经深入骨髓，感动，难以自已。,"2,21,23","2,21,23",,,,,,,,,,,,,,,,,,,
多数核酸检测企业净利增长翻倍，结合起来看，花纳税人压力挺大的，毕竟业务增长体量巨大，压力能不大嘛。至于小城小县小村小户小老百姓，能有啥压力呢？静默到春节的话，连年货压力都省了，多棒。,"2,26,30","2,26,30",,,,,,,,,,,,,,,,,,,
多家核酸检测企业应收账款超净利润，看到这张图，我麻了，我真的麻了，真不知道该说啥了。,"2,35,41","2,35,41",,,,,,,,,,,,,,,,,,,
对于很多小县城，疫情3年，就没有过病例出现，但是最近这波疫情，很多从来没有过病例的小县城也开始爆发疫情了，就那我们那18线小城市来说，前几天突然新增1例确诊，从上到下都慌了。,"2,85,87","2,85,87",,,,,,,,,,,,,,,,,,,
督察组检查，不都是自己人吗？各个小区是否符合标准，为什么不符合，是否有公示？,"2,26,32","2,26,32",,,,,,,,,,,,,,,,,,,
都是些什么污七八糟的，丢人，丢俺河南人嘞脸。,"2,12,14","2,12,14",,,,,,,,,,,,,,,,,,,
点进来话题发现内容很奇怪，并没有看到想要的微博内容与话题。常态化管理的区域竟然被封在家里整整十天了，全程静默，买药看病打车都是问题，这是我今年经历的最大的笑话。再一次变成了四年前的愤青状态。,"2,91,93","2,91,93",,,,,,,,,,,,,,,,,,,
第六周了，请问今年还让上班吗？,1,1,,,,,,,,,,,,,,,,,,,
地方没钱了，疫情就该结束了吧？现在很多地方都是没病例，照样封小区。咱不知道他们图啥？也不知道这种病态方式还将存在多久？自费核酸可能对某些群体来说并不算啥，但对于大多数老百姓而言，是一笔很大的开销。一次棉签捅嗓，一顿早饭钱没了，一包馒头钱没了。,"2,49,53","2,49,53",,,,,,,,,,,,,,,,,,,
地方没钱了，就别作妖了。替老百姓们求求各位青天大老爷，收了神通吧！,"2,9,11","2,9,11",,,,,,,,,,,,,,,,,,,
等各地正式开始自费核酸后，这些个小县城的压力就换人了。不过不管怎么换，不管是群众自己掏钱还是财政掏钱，核酸检测机构还是赚得嘛好在钱搞来搞去始终在那，在人润出去之前，大家还是可以自我安慰一下的，画饼充饥比麻沸散要好用的多。,"2,97,101","2,97,101",,,,,,,,,,,,,,,,,,,
当地抗疫压力有多大，老百姓生活就有多难！,"2,19,20","2,19,20",,,,,,,,,,,,,,,,,,,
但是没有24小时核酸进不去医院有的店也是需要48小时才能进，核酸点又没了，医院的自费核酸也排不到，真的无语。,"2,52,54","2,52,54",,,,,,,,,,,,,,,,,,,
但是…普通民众压力也很大啊。,"2,8,13","2,8,13",,,,,,,,,,,,,,,,,,,
单管无混检，立马又赚钱。之前楼下的便民免费核酸点，摇身一变，变成了自费采样点，而且没有混检，而且做核酸的队伍绕了一圈又一圈……,1,1,,,,,,,,,,,,,,,,,,,
大胆地猜测一下：如果不是央视或其他媒体跟进报道，采访，这两天新冠肺炎感染者的人数肯定没有这么多。,"2,9,13","2,9,13",,,,,,,,,,,,,,,,,,,
大城市医疗就是不一样，到时搞不定往外输出么？北边内陆那些三线城市、农村地区怎么办？改开你们肥了，如今还不是只顾自己了。,"2,54,58","2,54,58",,,,,,,,,,,,,,,,,,,
从这破病毒变异之后就再也不说重症率和致死率了。然后稍微有点风吹草动就封控，折腾底层社工，让工厂停产，商业停业。到底是谁在躺平啊请问？多少人失业，多少人被逼成精神病跳楼，多少因为疫情耽误了其他疾病治疗的事从来不提。天天歌颂苦难，转移矛盾。你们到底在干嘛？,"2,38,42,61,63","2,38,42,61,63",,,,,,,,,,,,,,,,,,,
除了广州，再看看成都。在疫情防控上，深圳的视野像个小山村。,"2,22,29","2,22,29",,,,,,,,,,,,,,,,,,,
成本代价最终不还是小老百姓承担了？,"2,10,16","2,10,16",,,,,,,,,,,,,,,,,,,
扯淡的回归日常，医院核酸从9点排到12点都做不完，要么全取消核酸查验，哪门子的回归日常，排半天的队你管叫回归日常？,"2,36,44","2,36,44",,,,,,,,,,,,,,,,,,,
不止小县城压力大啊。一二线城市压力也大啊。此外，我们生活压力也大。每个月房贷车贷的，哎！,"2,27,33","2,27,33",,,,,,,,,,,,,,,,,,,
不知道说的真假吧，但是看起来大家确实也都有点不好过。,"2,23,26","2,23,26",,,,,,,,,,,,,,,,,,,
不想被感染好像成为了错误，像我这种小体格只能一边囤抗原一边囤口罩顺便囤了好多药，希望自己能晚一点感染，症状能轻一点。也希望不怕感染的人做好防护、阳了就好好居家治疗，尽量减少传播扩散。,1,1,,,,,,,,,,,,,,,,,,,
不嫌丢人！,"2,1,5","2,1,5",,,,,,,,,,,,,,,,,,,
不是你压力大给谁看吧，说这个想让群众体谅自己自费做核酸？你干脆把转运时候的车票也收上。,"2,7,10","2,7,10",,,,,,,,,,,,,,,,,,,
不强制执行核酸检测可以，但能不能增加多几个核酸检测点啊？去医院三天三检也考虑一下病人的需求啊！,"2,14,17","2,14,17",,,,,,,,,,,,,,,,,,,
不仅仅是县城防疫压力大。现有的考核政策，已经让地方政府永远在动态清零的路上行走。没完没了的奥密克戎和无症状感染人数，成为地方政府压倒一切的工作。为了更快的动态清零，一些地方出现疫情就静默。有的地方老百姓几十天都待在家里，疫情仍然没有结束。,1,1,,,,,,,,,,,,,,,,,,,
病毒依然还在，该戴口罩戴口罩，为自己的健康负责。,1,1,,,,,,,,,,,,,,,,,,,
冰冷的夜，寒冷的雨！我在疫情防控卡口值守！,1,1,,,,,,,,,,,,,,,,,,,
别说小县城，市中心压力更大，今年已经四次封在家里一个月了。,"2,10,14","2,10,14",,,,,,,,,,,,,,,,,,,
别开了，瞎丢人，不说正事，都是什么玩意儿，伙食好，中药治百病，祝刘女士千金生日快乐，搞笑呢坐一排排，看着像个人。,"2,6,8","2,6,8",,,,,,,,,,,,,,,,,,,
本广州人虽然觉得这阵子广州卫健委做得很烂。但是，不管背后有什么原因，在连着20天，日新增7000的情况下，我还是很佩服这种说解就解的魄力。,"2,17,21","2,17,21",,,,,,,,,,,,,,,,,,,
北彩鑫居位于金水区东风路街道同乐花园社区，请求政府帮助，10月31日至11月3日本院陆续发现核酸检测异常，但社区至今未将具体情况反馈至院内广大居民，居民不清楚院内疫情风险程度，不了解院内疫情防控措施及政策。北彩鑫居属于老小区，物业基本形同虚设。,"2,118,122","2,118,122",,,,,,,,,,,,,,,,,,,
百姓的生活心理压力也大。,"2,8,12","2,8,12",,,,,,,,,,,,,,,,,,,
把我楼下的铁皮拆了，我天天出门要绕一大圈，傻嗨！,"0,22,24","0,22,24",,,,,,,,,,,,,,,,,,,
唉，疫情之下，老百姓真的太难了！,"2,13,16","2,13,16",,,,,,,,,,,,,,,,,,,
唉！疫情当前大家都不容易呀！老百姓更不容易。,"2,9,13","2,9,13",,,,,,,,,,,,,,,,,,,
11月5日浙江金华， 步阳集团30周年庆，举办400桌四千人宴席，这是否有违密集型防控要求？,"2,37,46","2,37,46",,,,,,,,,,,,,,,,,,,
只是回到几个月前的正常生活而已。那个时候没有社会面核酸也没有躺平，民众期待的可能也是这个样子吧。依旧愿意接受防疫政策，但希望是合理的有界限的。,1,1,,,,,,,,,,,,,,,,,,,
现在恢复正常生活居然成了奢望。,"2,9,15","2,9,15",,,,,,,,,,,,,,,,,,,
希望有一天，再也不用无休止加班，可以尽情拥抱周末。不用报备就可以到处去玩，拜托 我从7月份开始就没有放过一个完整周末了，这一个多月一天休息都没有，1月初出过一次市就被“禁足”，拜托拜托，让我像个正常年轻人一样拥抱社交行吗？,"2,94,105","2,94,105",,,,,,,,,,,,,,,,,,,
我一点都不觉得恢复正常，所有免费核酸点只给特殊工种做或者直接不开，想要做个核酸还得去医院抢号或者挂号，昨天到今天光是打车去找核酸点加做自费核酸就花了100+，居委天天在追阳性患者，我可不敢去堂食，囤药囤口罩吧！,"2,91,95","2,91,95",,,,,,,,,,,,,,,,,,,
我想做个核酸怎么这么难，想看医生都不让进医院，愣是要在外面站着吹风，没病都得吹到有病。,"2,7,12","2,7,12",,,,,,,,,,,,,,,,,,,
网络真的都是二极管啊，毒性弱归毒性弱，现在新冠的恐怖的地方根本不是毒性强弱，而是可以反复感染反复破坏免疫系统。的确普通人的一次的确没什么问题，第一次感染的确跟普通重感冒没什么区别，但等你反复感染多几次免疫系统就差不多没了。不合理封控跟过渡管制肯定是有问题，但是盲目放开问题更大！,"2,131,139","2,131,139",,,,,,,,,,,,,,,,,,,
全面开放的第一天，深夜就接到电话，邻居阳性了我好惆怅。并不感动，也不敢动。,"2,24,27","2,24,27",,,,,,,,,,,,,,,,,,,
其实疫情没有离开，我个人觉得不太好，因为安全受到威胁了，甚至都没有地方做核酸了，特别不方便。,"2,15,18，41,46","2,15,18，41,46",,,,,,,,,,,,,,,,,,,
其实它欠我一个科学合理的解释，生机回来了，这让人真心高兴！,"0,25,29","0,25,29",,,,,,,,,,,,,,,,,,,
你放屁！把场所码也撤啊,"2,2,4","2,2,4",,,,,,,,,,,,,,,,,,,
看来很久都没法去广州了。出来就要被区别对待。,"2,18,22","2,18,22",,,,,,,,,,,,,,,,,,,
广州周边县市乡村的居民自己保重吧——来自河北农村的提醒！,1,1,,,,,,,,,,,,,,,,,,,
广州这叫回归正常？广州这叫摆烂。什么是正常，比如像我们宁波，比如像杭州，比如像深圳，这才叫正常。每天感染人数不超过100，进入公共场所需要查72小时或48小时核酸检测报告，可以堂食，公共交通不停，工厂不停，学校不停，民生没有影响，这才是正常。,"2,12,16","2,12,16",,,,,,,,,,,,,,,,,,,
封了一个月的感受就是，这一个月我活动的距离就是床和凳子，日夜颠倒，近乎发疯。我感觉比疫情更可怕的是我的精神消耗以及日渐增长的年龄却看不到未来，所以，现在这样子回归日常，虽然也会紧张，但是更多的是打心底的自由，自己会更加防护好自己的，希望彻底的自由就在前方!,"2,34,38","2,34,38",,,,,,,,,,,,,,,,,,,
点是撤了，但是别要求日常场所二十四小时核酸啊！我怎么给你吐出来？,"2,6,11","2,6,11",,,,,,,,,,,,,,,,,,,
大家都说别那么快去堂食，倒不是因为怕，因为这两天的菜可能不新鲜。,"2,29,32","2,29,32",,,,,,,,,,,,,,,,,,,
比之前两个月天天做核酸还绝望，开心的只有本地人和想直接放开的。我不想回家路上被感染，不想如果感染还祸害家里老人。但是现在完全不受自己的控制，也不知道落地之后当地说的居家隔离会不会真的变成集中隔离。如果真的能回到19年，不想再在外地读书。,"2,13,15","2,13,15",,,,,,,,,,,,,,,,,,,
熬过了是个新局面，熬不过也是个新局面，不做核酸就不会有新增，多少有点掩耳盗铃了？,"2,35,39","2,35,39",,,,,,,,,,,,,,,,,,,
广州那么勤奋的一座城市，关在家里没有收入，真的是生不如死，人也真的会疯掉！,"2,25,29","2,25,29",,,,,,,,,,,,,,,,,,,
自欺欺人，看似风平浪静。,"2,1,5","2,1,5",,,,,,,,,,,,,,,,,,,
只是小县城吗？应该是所有基层老百姓吧？现在周末出去看看大街上还看到多少店铺开着？多少人在逛街？我每天都在担心怕一觉睡醒小区封了，小孩不能上学了，单位去不了了等等。真的不知道这种日子还要过多久,"2,49,55","2,49,55",,,,,,,,,,,,,,,,,,,
只能说都挺难的，武汉也一样，满勤的核酸，整个十月就这么过去了。,"2,4,7","2,4,7",,,,,,,,,,,,,,,,,,,
郑州社区刘红英书记，疫情就影响了你家阖家团圆给你女儿过生日啊。还要在发布会上卖惨啊！,"2,39,41","2,39,41",,,,,,,,,,,,,,,,,,,
郑州被赋红码路宿街头的薛先生写了情况说明和承诺书，核酸做了7天都是阴性，因为红码给人带来多大生活困扰和不便，我就奇怪郑州领导干部为什么就体会不到呢？乱赋红码毛病为什么改不了？郑州是这也会那也会就会乱赋红码和踢皮球不作为推卸责任吗？,"2,110,114","2,110,114",,,,,,,,,,,,,,,,,,,
真闻者伤心，听者落泪了郑州社区刘红英书记，疫情就影响了你家阖家团圆，缺席女儿这么重要的18岁生日，得发布会上卖惨，是看不见尿毒症患者做不了透析，得癌症的吃不了药？看不见小宝宝没有奶粉，女孩子们买不到卫生巾？,"2,55,57","2,55,57",,,,,,,,,,,,,,,,,,,
压力相当大，就以广安来说，本来国庆节要去广安参加婚礼做伴郎，但因为疫情取消了。为什么取消，因为不能办酒席，毕竟考虑疫情问题。之前广安有疫情的时候，就听说非常紧张。或者不说小县城了，你就北上广，谁压力小……唉。,"2,1,6","2,1,6",,,,,,,,,,,,,,,,,,,
小县城的抗疫压力大，容易搞一刀切和层层加码，这都是正常的，可以理解，但，小县城里生活的人们的压力不大吗？动不动一刀切，动不动全域静默，动不动每天都在做核酸监测，人们的工作和生活哪方面不面临着压力？现在有消息称多数核酸检测企业净利增长翻倍。,"2,7,10","2,7,10",,,,,,,,,,,,,,,,,,,
万邦很倔强，万邦表示这锅我不想背。,1,1,,,,,,,,,,,,,,,,,,,
外宣工作一塌糊涂！,"2,5,9","2,5,9",,,,,,,,,,,,,,,,,,,
所以郑州你过年前还开不开学？,1,1,,,,,,,,,,,,,,,,,,,
虽然解封了，但是明明静默这么久？绿码阴性可出行的人咋就解封一天？可就混采异常，有阳性，连累我们这正常阴性的人，实惨。茜城花园社区不管怎么样把你变红码，现在在家隔离两天了，说是要把我拉走隔离，我是他们说的所谓的，密接阴性。,"2,44,48","2,44,48",,,,,,,,,,,,,,,,,,,
说到管理部门都有压力的时候，可见管辖下的人民，压力可想而知了。,"2,7,11","2,7,11",,,,,,,,,,,,,,,,,,,
如果你们阳了，你们公司还要你吗？房东还会让你们住在出租房吗？房东也是有老人小孩的，万一你阳了，不要怪房东把你赶走。,"2,12,16","2,12,16",,,,,,,,,,,,,,,,,,,
如果你们阳了，你们公司还要你吗？房东还会让你们住在出租房吗？房东也是有老人小孩的，万一你阳了，不要怪房东把你赶走。,"2,12,16","2,12,16",,,,,,,,,,,,,,,,,,,
人还是别轻易撒谎 一旦撕开口子，就需要不断地撒谎去圆上一个谎，无穷无尽，人心尽失。,"2,37,41","2,37,41",,,,,,,,,,,,,,,,,,,
群众的压力也很大，基本都是手停口停，家境殷实的或许不在乎，但是平凡家庭是真的熬不住。,1,1,,,,,,,,,,,,,,,,,,,
求求了，别演了，干点正事吧……赶紧解封！让我通畅回家！,"2,9,14","2,9,14",,,,,,,,,,,,,,,,,,,
千万别惹开宝马的，因为司机有可能是新冠病毒，副驾驶还放了一兜刚点的凉菜。,"2,3,9","2,3,9",,,,,,,,,,,,,,,,,,,
